# Sena Firmware Device List (Parsed from Official Firmware List)
# Format: DEVICE | MAX_VERSION | LATEST_URL
#
10B|1.0|https://firmware.sena.com/senabluetoothmanager/HJC_10B-v1.0.img
10C|3.0|https://firmware.sena.com/senabluetoothmanager/10C-v3.0.4.img
10C_EVO|1.7|https://firmware.sena.com/senabluetoothmanager/10C-EVO-v1.7.img
10C_Pro|2.7|https://firmware.sena.com/senabluetoothmanager/10C-Pro-v2.7.1.img
10R|2.1|https://firmware.sena.com/senabluetoothmanager/10R-v2.1.1-build1.img
10S|2.1|https://firmware.sena.com/senabluetoothmanager/10S-v2.1.1.img
10U_Arai|2.0|https://firmware.sena.com/senabluetoothmanager/10U-Arai-v2.0.4-build1.img
10U_C3_C3Pro|2.0|https://firmware.sena.com/senabluetoothmanager/10U_C3_C3Pro-v2.0.4.img
10U_GT-Air|2.0|https://firmware.sena.com/senabluetoothmanager/10U_GT-Air-v2.0.4.img
10U_J-Cruise|2.0|https://firmware.sena.com/senabluetoothmanager/10U_J-Cruise-v2.0.4.img
10U_Neotec|2.0|https://firmware.sena.com/senabluetoothmanager/10U_Neotec-v2.0.4.img
10Upad|2.0|https://firmware.sena.com/senabluetoothmanager/10Upad-v2.0.3.img
20B|1.0|https://firmware.sena.com/senabluetoothmanager/HJC_20B-v1.0.3.img
20S|2.2|https://firmware.sena.com/senabluetoothmanager/20S-v2.2.3-build1.img
30K|3.5|https://firmware.sena.com/senabluetoothmanager/30K_v3.5-build0.img
30KV2|4.5|https://firmware.sena.com/senabluetoothmanager/30K-v4.5-build0.img
3S|1.4|https://firmware.sena.com/senabluetoothmanager/3S-v1.4.img
50C|1.4|https://firmware.sena.com/senabluetoothmanager/Sena_50C_v1.4.2-build0.img
50C_EIS|1.4|https://firmware.sena.com/senabluetoothmanager/Sena_50C_v1.4.2-build0.img
50R|1.5|https://firmware.sena.com/senabluetoothmanager/Sena_50R-v1.5-build0.img
50RV2|2.7|https://firmware.sena.com/senabluetoothmanager/50R-v2.7-build1.img
50S|1.5|https://firmware.sena.com/senabluetoothmanager/Sena_50S-v1.5-build0.img
50SV2|2.7|https://firmware.sena.com/senabluetoothmanager/50S-v2.7.1-build0.img
60S|1.2|https://firmware.sena.com/senabluetoothmanager/60S-v1.2.3-build0.img
60SREV2|1.2|https://firmware.sena.com/senabluetoothmanager/60S_REV2-v1.2.3-build0.img
AGV_ARK|1.0|https://firmware.sena.com/senabluetoothmanager/AGV_ARK-v1.0.4-build1.img
AIROHAPHANTOM|1.2|https://firmware.sena.com/senabluetoothmanager/PHANTOM-v1.2.4-build0.img
AIROHAPHANTOM_ANC|1.2|https://firmware.sena.com/senabluetoothmanager/PHANTOM_ANC-v1.2.4-build0.img
Alpinestars|1.2|https://firmware.sena.com/senabluetoothmanager/Alpinestars-v1.2.2.img
AWC2|1.0|https://firmware.sena.com/senabluetoothmanager/awc2-v1.0-build1-lp2.img
AWC4|1.0|https://firmware.sena.com/senabluetoothmanager/awc4-v1.0-build1-lp2.img
B3|1.4|https://firmware.sena.com/senabluetoothmanager/B901_S-v1.4.5.img
B6|1.4|https://firmware.sena.com/senabluetoothmanager/B901_R-v1.4.5.img
B601_R|1.0|https://firmware.sena.com/senabluetoothmanager/B601_R-v1.0.2-build1.img
B601_S|1.0|https://firmware.sena.com/senabluetoothmanager/B601_S-v1.0.2-build1.img
B601_X|1.0|https://firmware.sena.com/senabluetoothmanager/B601_X-v1.0.2-build1.img
B602R|1.0|https://firmware.sena.com/senabluetoothmanager/B602R-v1.0.4-build0.img
B602X|1.0|https://firmware.sena.com/senabluetoothmanager/B602X-v1.0.4-build0.img
B6L|1.4|https://firmware.sena.com/senabluetoothmanager/B901L_R-v1.4.5.img
B802SK|1.1|https://firmware.sena.com/senabluetoothmanager/B802_SK-v1.1.4-build0.img
